"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Administrator service","0","Users","2","0","Get entity","0"
"0","Administrator service","0","Authentication","1","0","Login","0"
"0","Administrator service","0","Users","1","0","Create entity","0"
